Time,Tip_X,Tip_Y,Tip_Z,J1_Angle,J2_Angle,J3_Angle
0.0,0.0,0.15,1.2,-0.28,-0.14,0.3
0.01,-0.0402,0.076,1.1746,34.96,7.05,-14.67
0.1,0.0,0.15,1.2,0.0,0.0,0.0
0.11,0.0,0.15,1.2,-0.27,-0.13,0.3
0.2,0.0,0.15,1.2,-0.27,-0.13,0.3
0.31,0.0,0.15,1.2,-0.26,-0.13,0.29
0.41,0.0,0.15,1.2,-0.25,-0.13,0.29
0.5,-0.0275,0.0744,1.188,37.52,7.58,-15.93
0.51,0.1022,0.1341,0.3912,-239.32,-727.69,-881.75
0.61,0.1422,0.1412,0.3512,-348.15,-3956.85,-5042.61
0.71,0.0646,0.1345,0.3594,-314.2,-3683.21,-4529.72
0.8,-0.0198,0.0771,1.1946,37.59,7.62,-15.96
0.81,0.0812,0.1148,0.3878,-135.09,-410.35,-398.38
0.91,-0.0185,0.0661,0.3511,82.74,-167.92,-207.72
1.01,0.0,0.15,1.2,0.0,0.0,0.0
1.1,0.0,0.15,1.2,-0.19,-0.12,0.26
1.11,-0.0113,0.0831,1.2003,36.37,7.37,-15.19
1.2,-0.0083,0.0857,1.2018,33.66,6.33,-10.55
1.21,0.0,0.15,1.2,0.0,0.0,0.0
1.31,-0.0048,0.0889,1.2034,33.0,6.21,-10.36
1.4,0.0,0.15,1.2,-0.17,-0.12,0.25
1.41,-0.001,0.0925,1.2046,32.26,6.08,-10.15
1.5,0.0028,0.0961,1.2055,31.5,5.94,-9.95
1.51,0.0,0.15,1.2,0.0,0.0,0.0
1.61,0.0,0.15,1.2,-0.15,-0.12,0.24
1.7,0.0,0.15,1.2,-0.14,-0.12,0.24
1.8,0.0,0.15,1.2,0.0,0.0,0.0
1.81,0.0,0.15,1.2,-0.13,-0.11,0.24
1.91,0.0,0.15,1.2,-0.12,-0.11,0.23
2.0,0.0,0.15,1.2,-0.11,-0.11,0.23
2.01,0.0297,0.1196,1.2028,26.08,4.95,-8.12
2.1,0.0,0.15,1.2,0.0,0.0,0.0
2.2,0.0,0.15,1.2,-0.1,-0.11,0.22
2.21,0.0431,0.1294,1.1963,23.05,4.19,-6.0
2.3,0.0,0.15,1.2,-0.09,-0.11,0.22
2.31,0.0499,0.1338,1.1916,21.6,3.83,-5.0
2.4,0.0567,0.1377,1.1859,20.2,3.47,-4.05
2.51,0.0,0.15,1.2,-0.07,-0.11,0.21
2.6,0.0,0.15,1.2,0.0,0.0,0.0
2.61,0.0,0.15,1.2,-0.06,-0.11,0.21
2.71,0.0769,0.1456,1.162,16.39,2.5,-1.66
2.81,0.0,0.15,1.2,0.0,0.0,0.0
2.9,0.0,0.15,1.2,0.0,0.0,0.0
3.0,0.0,0.15,1.2,0.0,0.0,0.0
3.01,0.0,0.15,1.2,-0.03,-0.1,0.19
3.1,0.0,0.15,1.2,0.0,0.0,0.0
3.21,0.098,0.1361,1.1114,12.34,1.59,-0.2
3.3,0.0,0.15,1.2,-0.01,-0.1,0.18
3.4,0.1004,0.1221,1.0919,11.08,1.39,-0.3
3.5,0.0,0.15,1.2,0.0,0.0,0.0
3.6,0.0,0.15,1.2,0.02,-0.09,0.17
3.61,0.0989,0.1045,1.0788,9.75,1.21,-0.48
3.7,0.0972,0.0953,1.0753,8.99,1.11,-0.52
3.71,0.0,0.15,1.2,0.0,0.0,0.0
3.8,0.0,0.15,1.2,0.03,-0.09,0.17
3.81,0.095,0.0854,1.0739,8.04,0.97,-0.49
3.91,0.0927,0.0769,1.0748,7.04,0.81,-0.37
4.01,0.0904,0.069,1.0778,5.85,0.62,-0.14
4.11,0.0883,0.0627,1.0828,4.52,0.38,0.2
4.2,0.0866,0.0585,1.0891,0.3,-0.02,0.32
4.21,0.0,0.15,1.2,0.0,0.0,0.0
4.3,0.0851,0.0563,1.0971,0.22,-0.02,0.33
4.31,0.0,0.15,1.2,0.0,0.0,0.0
4.41,0.0,0.15,1.2,0.0,0.0,0.0
4.5,0.0,0.15,1.2,0.0,0.0,0.0
4.51,0.0,0.15,1.2,0.08,-0.08,0.15
4.6,0.0,0.15,1.2,0.09,-0.08,0.15
4.61,0.0835,0.0666,1.1219,-2.21,-0.15,0.33
4.71,0.0,0.15,1.2,0.1,-0.08,0.14
